# x   y
-27	-1
-27	0
-27	1
-27	2
-27	3
-27	4
-26	-1
-26	0
-26	1
-26	2
-26	3
-26	4
-25	-1
-25	0
-25	1
-25	2
-25	3
-25	4
-24	-7
-24	-6
-24	-5
-24	-4
-24	-3
-24	-2
-24	-1
-24	0
-24	1
-24	2
-24	3
-24	4
-23	-7
-23	-6
-23	-5
-23	-4
-23	-3
-23	-2
-23	-1
-23	0
-23	1
-23	2
-23	3
-23	4
-22	-7
-22	-6
-22	-5
-22	-4
-22	-3
-22	-2
-22	-1
-22	0
-22	1
-22	2
-22	3
-22	4
-21	-7
-21	-6
-21	-5
-21	-4
-21	-3
-21	-2
-21	-1
-21	0
-21	1
-21	2
-21	3
-21	4
-20	-7
-20	-6
-20	-5
-20	-4
-20	-3
-20	-2
-20	-1
-20	0
-20	1
-20	2
-20	3
-20	4
-19	-7
-19	-6
-19	-5
-19	-4
-19	-3
-19	-2
-19	-1
-19	0
-19	1
-19	2
-19	3
-19	4
-18	-7
-18	-6
-18	-5
-18	-4
-18	-3
-18	-2
-18	-1
-18	0
-18	1
-18	2
-18	3
-18	4
-17	-38
-17	-37
-17	-36
-17	-35
-17	-34
-17	-33
-17	-32
-17	-31
-17	-7
-17	-6
-17	-5
-17	-4
-17	-3
-17	-2
-17	-1
-17	0
-17	1
-17	2
-17	3
-17	4
-16	-38
-16	-37
-16	-36
-16	-35
-16	-34
-16	-33
-16	-32
-16	-31
-16	-7
-16	-6
-16	-5
-16	-4
-16	-3
-16	-2
-16	-1
-16	0
-16	1
-16	2
-16	3
-16	4
-15	-38
-15	-37
-15	-36
-15	-35
-15	-34
-15	-33
-15	-32
-15	-31
-15	-7
-15	-6
-15	-5
-15	-4
-15	-3
-15	-2
-15	-1
-15	0
-15	1
-15	2
-15	3
-15	4
-14	-38
-14	-37
-14	-36
-14	-35
-14	-34
-14	-33
-14	-32
-14	-31
-14	-7
-14	-6
-14	-5
-14	-4
-14	-3
-14	-2
-14	-1
-14	0
-14	1
-14	2
-14	3
-14	4
-13	-38
-13	-37
-13	-36
-13	-35
-13	-34
-13	-33
-13	-32
-13	-31
-13	-7
-13	-6
-13	-5
-13	-4
-13	-3
-13	-2
-13	-1
-13	0
-13	1
-13	2
-13	3
-13	4
-12	-38
-12	-37
-12	-36
-12	-35
-12	-34
-12	-33
-12	-32
-12	-31
-12	-7
-12	-6
-12	-5
-12	-4
-12	-3
-12	-2
